"","NAME","gender","prc_under18E","prc_under18M","prc_over65E","prc_over65M"
"135","Bassett","Female",0,0.555555555555556,0.777777777777778,1.15781885690757
"136","Bassett","Male",0,1.66666666666667,0.416666666666667,1.76235716521305
"137","Batavia","Female",0.184563758389262,0.138388211293153,0.151006711409396,0.117781064692624
"138","Batavia","Male",0.237458193979933,0.1535873643113,0.103678929765886,0.0745611364201684
"139","Battle Creek","Female",0.234042553191489,0.107691080236133,0.272340425531915,0.0991346300888132
"140","Battle Creek","Male",0.207650273224044,0.137203725303531,0.26775956284153,0.112606099466518
"141","Baxter","Female",0.254587155963303,0.115158445640482,0.204128440366972,0.0858195920391564
"142","Baxter","Male",0.226966292134831,0.0942340202913901,0.260674157303371,0.117459352310809
"143","Bayard","Female",0.220858895705521,0.140301385120505,0.257668711656442,0.117626243849266
"144","Bayard","Male",0.267605633802817,0.152681704264538,0.206572769953052,0.120437290147542
"145","Beacon","Female",0.258823529411765,0.192266516854747,0.176470588235294,0.113243455314
"146","Beacon","Male",0.185430463576159,0.115435166605815,0.109271523178808,0.0720743642423027
"147","Beaconsfield","Female",0,20,0,24
"148","Beaconsfield","Male",0,5,0.5,5.7716981903076
"149","Beaman","Female",0.0847457627118644,0.188864972867463,0.271186440677966,0.303873329228317
"150","Beaman","Male",0.103896103896104,0.158904071477795,0.142857142857143,0.186758447973805
"151","Beaver","Female",0.613636363636364,0.96968659076061,0.0681818181818182,0.416654464737211
"152","Beaver","Male",0.1875,1.14051797443092,0,1.5
"153","Beaverdale CDP, Iowa","Female",0.195652173913043,0.173740194003292,0.235177865612648,0.132226873917464
"154","Beaverdale CDP, Iowa","Male",0.21,0.132103711624617,0.325,0.193985995386909
"155","Bedford","Female",0.198496240601504,0.0647169696640546,0.227067669172932,0.0566456853935701
"156","Bedford","Male",0.250359712230216,0.0819780203936799,0.161151079136691,0.0482521300827432
"157","Belle Plaine","Female",0.145087235996327,0.0468080608541104,0.247015610651974,0.0655621988651568
"158","Belle Plaine","Male",0.253383458646617,0.0652524510183948,0.224812030075188,0.0658128498341504
"159","Bellevue","Female",0.268482490272374,0.0793726261938416,0.252140077821012,0.0693913119378649
"160","Bellevue","Male",0.214150943396226,0.0678145639178332,0.189622641509434,0.0536745105437036
"161","Belmond","Female",0.273667462211615,0.0984982173960109,0.289578361177407,0.0771546284432993
"162","Belmond","Male",0.304311774461028,0.0870690815522269,0.257048092868988,0.0771313087130011
"163","Bennett","Female",0.227272727272727,0.126138859533588,0.195454545454545,0.0983658591228031
"164","Bennett","Male",0.239583333333333,0.149624987994662,0.161458333333333,0.0845941296156237
"165","Bentley CDP, Iowa","Female",0,0.645161290322581,0.193548387096774,0.795084196107144
"166","Bentley CDP, Iowa","Male",0.31404958677686,0.565814319874887,0.0413223140495868,0.203869116509114
"167","Benton","Female",0,1.66666666666667,0.583333333333333,1.29548792586013
"168","Benton","Male",0.166666666666667,1.00346621489936,0.333333333333333,1.17851130197758
"169","Berkley","Female",0,10,1,11.5974135047432
"170","Berkley","Male",0,20,1,23.3452350598575
"171","Bernard","Female",0.370967741935484,0.351103872582116,0.112903225806452,0.264968944499419
"172","Bernard","Male",0,0.263157894736842,0.118421052631579,0.165118015496555
"173","Bertram","Female",0.0888888888888889,0.0643248710680221,0.281481481481481,0.142563393731604
"174","Bertram","Male",0.222222222222222,0.127508280906008,0.318518518518519,0.142772785299091
"175","Bettendorf","Female",0.250024888003982,0.0232462593118562,0.186212045793927,0.0209668511781452
"176","Bettendorf","Male",0.270481635294752,0.0261847833323731,0.152149290761016,0.0181324600895697
"177","Bevington","Female",0,3.33333333333333,0.333333333333333,3.34995854037363
"178","Bevington","Male",0.2,1.80709711969224,0.6,1.5749285698088
"179","Big Rock CDP, Iowa","Female",0,2.85714285714286,0.571428571428571,3.32202023007029
"180","Big Rock CDP, Iowa","Male",0,1.53846153846154,0.384615384615385,1.79891388712141
"181","Birmingham","Female",0.165898617511521,0.0820220670710071,0.248847926267281,0.102816932838497
"182","Birmingham","Male",0.232931726907631,0.112687534034052,0.0963855421686747,0.0658965672968494
"183","Blairsburg","Female",0.05,0.250500887113089,0.3,0.251931428060186
"184","Blairsburg","Male",0.391304347826087,0.229150555084665,0.159420289855072,0.237895115985413
"185","Blairstown","Female",0.207100591715976,0.0895346487354737,0.171597633136095,0.0758496841274131
"186","Blairstown","Male",0.278350515463918,0.120593766205752,0.134020618556701,0.0773988242356415
"187","Blakesburg","Female",0.252032520325203,0.171884508683723,0.349593495934959,0.205131058385076
"188","Blakesburg","Male",0.134020618556701,0.142478131741488,0.206185567010309,0.19039475966454
"189","Blanchard","Female",0,2.85714285714286,0.428571428571429,2.86761927677556
"190","Blanchard","Male",0.0416666666666667,0.709661829486368,0.0833333333333333,0.837842257778726
"191","Blencoe","Female",0.204379562043796,0.104915144957667,0.372262773722628,0.186627593260581
"192","Blencoe","Male",0.266666666666667,0.181203112283522,0.333333333333333,0.167244369149893
"193","Blockton","Female",0.17741935483871,0.346785024651052,0.290322580645161,0.256536883654207
"194","Blockton","Male",0.197368421052632,0.258957631941536,0.25,0.215102404266734
"195","Bloomfield","Female",0.266620013995801,0.0656713128145025,0.218334499650105,0.056142909789826
"196","Bloomfield","Male",0.242718446601942,0.0668918953546351,0.199838187702265,0.066992839015491
"197","Blue Grass","Female",0.205645161290323,0.0717441530042693,0.203629032258065,0.0662859614728165
"198","Blue Grass","Male",0.254587155963303,0.0978662710921253,0.19954128440367,0.0632342624360651
"199","Bode","Female",0.125827814569536,0.125216686702353,0.172185430463576,0.0952203643208668
"200","Bode","Male",0.347417840375587,0.203056320650476,0.140845070422535,0.0839109842970021
"201","Bolan CDP, Iowa","Female",0,2.5,1,3.25
"202","Bolan CDP, Iowa","Male",NA,NA,NA,NA
"203","Bonaparte","Female",0.278350515463918,0.129098623865912,0.268041237113402,0.118986608232816
"204","Bonaparte","Male",0.357429718875502,0.157319889444451,0.100401606425703,0.0484017034398785
"205","Bondurant","Female",0.294085129906025,0.079955617364053,0.0901050304035379,0.0441928013756036
"206","Bondurant","Male",0.392947813822285,0.0929964394773726,0.0623413258110014,0.0325091850757121
"207","Boone","Female",0.200860146543485,0.0305419738207859,0.181745778910481,0.0321247913925274
"208","Boone","Male",0.221312790884288,0.0356305972920251,0.138661531054405,0.0259500218531027
"209","Bouton","Female",0.5,0.310868522313985,0.105769230769231,0.178028934654936
"210","Bouton","Male",0.36,0.202916337439842,0.24,0.292099709003621
"211","Boxholm","Female",0.1,0.202237484161567,0.216666666666667,0.226206641026395
"212","Boxholm","Male",0.19047619047619,0.173294332320927,0.222222222222222,0.281773285867204
"213","Boyden","Female",0.254545454545455,0.12386395677275,0.171428571428571,0.0742790416231431
