"","Year","GEOID","NAME","Median Age Estimate","moe"
"534","2009","1922755","Duncombe",41.1,3.2
"535","2009","1922800","Dundee",42.5,11.6
"536","2009","1922845","Dunkerton",37.9,4.9
"537","2009","1922890","Dunlap",47.3,3.9
"538","2009","1922935","Durango",30.1,31.6
"539","2009","1922980","Durant",35.4,3.3
"540","2009","1923115","Dyersville",37.5,6.3
"541","2009","1923160","Dysart",38.8,5.4
"542","2009","1923250","Eagle Grove",43.2,5
"543","2009","1923340","Earlham",33.9,1.6
"544","2009","1923385","Earling",74.1,9.8
"545","2009","1923430","Earlville",43.8,6.2
"546","2009","1923475","Early",39.2,2.6
"547","2009","1923790","East Peru",44.5,3.2
"548","2009","1923970","Eddyville",41.2,5
"549","2009","1924060","Edgewood",38.2,5.5
"550","2009","1924375","Elberon",28.4,10.6
"551","2009","1924420","Eldon",41.7,6.1
"552","2009","1924465","Eldora",42.9,4.8
"553","2009","1950700","Mechanicsville",37.3,7.3
"554","2009","1950790","Mediapolis",39,6.3
"555","2009","1950880","Melbourne",32.7,4.1
"556","2009","1950935","Melcher-Dallas",39.4,8.5
"557","2009","1950970","Melrose",55.4,10.8
"558","2009","1951060","Melvin",61.4,10.2
"559","2009","1951105","Menlo",32.5,8.8
"560","2009","1951150","Meriden",48.6,9.4
"561","2009","1951375","Merrill",34.7,6.7
"562","2009","1951420","Meservey",46,10.1
"563","2009","1951735","Middletown",50.7,4.5
"564","2009","1952050","Miles",39.7,5
"565","2009","1952095","Milford",35.8,5.4
"566","2009","1952230","Millersburg",41.3,16
"567","2009","1952275","Millerton",49.8,8.9
"568","2009","1952410","Millville",49.6,35.6
"569","2009","1952455","Milo",36.7,6.9
"570","2009","1952500","Milton",41,12.7
"571","2009","1952545","Minburn",43.1,4.4
"572","2009","1952590","Minden",34.1,6.7
"573","2009","1952815","Mingo",52.5,2.4
"574","2009","1952860","Missouri Valley",38.8,3.5
"575","2009","1952905","Mitchell",47.8,7.8
"576","2009","1952950","Mitchellville",34.6,2.6
"577","2009","1952995","Modale",32.9,12.1
"578","2009","1953175","Mondamin",40.1,13.2
"579","2009","1953265","Monmouth",40,7
"580","2009","1953310","Monona",35.5,6.1
"581","2009","1953355","Monroe",36.1,7.4
"582","2009","1953490","Montezuma",37.2,5.4
"583","2009","1953625","Monticello",39.4,6
"584","2009","1953670","Montour",39.5,14.4
"585","2009","1953760","Montrose",54.1,19.5
"586","2009","1953850","Moorhead",56,6.4
"587","2009","1953895","Moorland",46.5,8.4
"588","2009","1953985","Moravia",42.9,8.5
"589","2009","1954030","Morley",41.7,12.8
"590","2009","1954120","Morning Sun",40.9,7.4
"591","2009","1954165","Morrison",49.9,10.6
"592","2009","1954390","Moulton",40.1,4.4
"593","2009","1954435","Mount Auburn",44.7,16.3
"594","2009","1954480","Mount Ayr",49.1,4.4
"595","2009","1954705","Mount Pleasant",37.4,2.1
"596","2009","1954750","Mount Sterling",38.5,17.7
"597","2009","1954795","Mount Union",25.9,18.8
"598","2009","1954840","Mount Vernon",22.8,7.5
"599","2009","1954930","Moville",37.2,4.8
